description_norm,n_occurrences,n_years,first_year,last_year,sample_text,first_era
scholani cor 1 mi regis maj r dupr,1,1,1801,1801,Scholani (cor. 1.mi Regis. - Maj.r Duprè),industrial_1760_1840
scholar car reg in,1,1,1817,1817,Scholar. Car. Reg. In:,industrial_1760_1840
scholari car 1 mi regis mag dupr,1,1,1809,1809,Scholari Car: 1 mi Regis (Mag: Dupr),industrial_1760_1840
scholari car 1 mi regni mro dupre,1,1,1810,1810,Scholari Car: 1^mi Regni (Mro Dupre),industrial_1760_1840
scholari car 1mi regis mag dupr,1,1,1806,1806,Scholari (Car. 1mi Regis / Mag. Dupré),industrial_1760_1840
scholari car 1mi regis mr dupre,1,1,1800,1800,"Scholari Car. 1mi Regis, Mr. Dupre",industrial_1760_1840
scholari car i regis,1,1,1822,1822,Scholari Car: I. Regis.,industrial_1760_1840
scholari car primi regis,1,1,1817,1817,Scholari car primi Regis,industrial_1760_1840
scholari cardin ni regis mag r dupre,1,1,1802,1802,"Scholari Cardin. ni Regis, Mag.r Dupre",industrial_1760_1840
scholari carissimi mr dupre,1,1,1809,1809,Scholari Carissimi (Mr Dupre),industrial_1760_1840
scholari caroli 1 regis mag supre,1,1,1805,1805,"Scholari Caroli 1. Regis, (Mag. Supre)",industrial_1760_1840
scholari cart 1mi regis magro dupr,1,1,1803,1803,"Scholari Cart. 1mi Regis, - Magro Dupré",industrial_1760_1840
scholari regis car 1mi,1,1,1842,1842,Scholari Regis (Car 1mi),post_1840
scholari regis car 1mo,1,1,1832,1832,Scholari Regis Car. 1mo,industrial_1760_1840
scholari regis car pmis,1,1,1830,1830,Scholari Regis Car. pmis,industrial_1760_1840
scholari regis caroli 1 mi,1,1,1844,1844,Scholari Regis Caroli 1 mi,post_1840
scholari regis caroli primi,1,1,1840,1840,Scholari Regis Caroli primi,industrial_1760_1840
scholari regis cat pmi,1,1,1824,1824,Scholari Regis Cat: pmi,industrial_1760_1840
scholari regis coor 1mi,1,1,1826,1826,Scholari Regis Coor. 1mi,industrial_1760_1840
scholari regis far 1m,1,1,1843,1843,Scholari Regis far. 1m,post_1840
scholaris regis caroli 1mi,1,1,1850,1850,Scholaris Regis Caroli 1mi,post_1840
scholarschips not carried to out last yr,1,1,1863,1863,Scholarschips not-carried to out last yr.,post_1840
scholarship money added by gomas,1,1,1864,1864,Scholarship money. added by Gomas,post_1840
scholarships,1,1,1863,1863,Scholarships,post_1840
scholarships money added by donors,1,1,1865,1865,Scholarships money added by Donors,post_1840
scilicet,1,1,1758,1758,Scilicet,pre_1760
scota ordinaria,1,1,1729,1729,Scota Ordinaria,pre_1760
scull quadrans,1,1,1755,1755,Scull & Quadrans:,pre_1760
seckham,1,1,1859,1859,Seckham,post_1840
servants reading room,1,1,1877,1877,Servants Reading Room,post_1840
set on shrubb deposit,1,1,1851,1851,Set on Shrubb Deposit,post_1840
settled for merton rent due at michaelmas 1809,1,1,1809,1809,Settled for Merton rent due at Michaelmas 1809,industrial_1760_1840
settled for merton rent the mich mas 1813,1,1,1813,1813,Settled for Merton Rent the Mich mas 1813,industrial_1760_1840
sheet 1894,1,1,1894,1894,Sheet 1894,post_1840
sheet 1895,1,1,1895,1895,Sheet 1895.,post_1840
sheet 1897,1,1,1897,1897,Sheet 1897,post_1840
sheet 1899,1,1,1899,1899,Sheet 1899,post_1840
sholden vicar,1,1,1832,1832,Sholden Vicar,industrial_1760_1840
short d 19 73,1,1,1762,1762,Short D. 19. 73.,industrial_1760_1840
showing the state of the different accounts for the year ending december 31 1891 at the closing of the accounts for that year,1,1,1891,1891,"Showing the state of the different Accounts for the Year ending December 31, 1891, at the closing of the Accounts for that Year.",post_1840
showing the state of the different accounts for the year ending december 31 1892 at the closing,1,1,1892,1892,"Showing the state of the different Accounts for the year ending December 31, 1892, at the closing",post_1840
showing the state of the different accounts for the year ending december 31st 1884 at the closing of the accounts for that year,1,1,1884,1884,"Showing the state of the different accounts for the year ending December 31st, 1884, at the closing of the Accounts for that year.",post_1840
showing the state of the different accounts for the year ending december 31st 1893 at the closing of the accounts for that year,1,1,1893,1893,"Showing the state of the different Accounts for the year ending December 31st, 1893, at the closing of the Accounts for that year.",post_1840
shrup,1,1,1708,1708,Shrup,pre_1760
sic rest solvend a dno computante,1,1,1765,1765,sic Rest: solvend: a Dno computante,industrial_1760_1840
signed rents variable,1,1,1817,1817,Signed Rents Variable,industrial_1760_1840
slouth baria,1,1,1727,1727,Slouth Baria,pre_1760
sm misc 1858,1,1,1858,1858,Sm. & Misc. 1858,post_1840
small degree fees 2 6,1,1,1878,1878,Small Degree fees £2.6,post_1840
small degree fees at 2 6,1,1,1879,1879,Small Degree Fees at 2.6,post_1840
small fees at 5,1,1,1879,1879,Small Fees at 5,post_1840
sociis commensalibus,1,1,1748,1748,Sociis Commensalibus,pre_1760
solata,1,1,1814,1814,Solata,industrial_1760_1840
solata varia,1,1,1767,1767,solata varia.,industrial_1760_1840
solicta ordinaria,1,1,1809,1809,Solicta Ordinaria,industrial_1760_1840
solida ordinaria,1,1,1850,1850,Solida Ordinaria.,post_1840
solida varia,1,1,1731,1731,Solida Varia,pre_1760
solola vara,1,1,1724,1724,Solola Vara,pre_1760
solota barta,1,1,1729,1729,Solota Barta,pre_1760
soluba varia,1,1,1740,1740,Soluba Varia.,pre_1760
solut ord,1,1,1752,1752,Solut: ord:,pre_1760
solut varia,1,1,1752,1752,Solut: Varia,pre_1760
soluta 1754 5,1,1,1755,1755,Soluta 1754-5,pre_1760
soluta 1755 6,1,1,1756,1756,Soluta 1755-6,pre_1760
soluta 2do rectori schol et off,1,1,1834,1834,"Soluta. 2do Rectori, Schol. et Off.",industrial_1760_1840
soluta anno 1826,1,1,1826,1826,Soluta Anno 1826,industrial_1760_1840
soluta anno 1828 bro goven,1,1,1826,1826,Soluta Anno 1828: Bro. Goven,industrial_1760_1840
soluta baria,1,1,1714,1714,Soluta Baria,pre_1760
soluta bursarij,1,1,1756,1756,Soluta Bursarij.,pre_1760
soluta bursarius,1,1,1764,1764,Soluta Bursarius.,industrial_1760_1840
soluta certa item de solutis 1700,1,1,1700,1700,Soluta certa. Item de Solutis 1700,pre_1760
soluta d no rectori schol et off,1,1,1856,1856,Soluta D.no Rectori Schol. et Off:,post_1840
soluta d no rectori scholariibus et officiariis,1,1,1852,1852,Soluta D.no Rectori Scholariibus et Officiariis.,post_1840
soluta d o rectori scholaribus et officiariis,1,1,1848,1848,Soluta D'o Rectori Scholaribus et Officiariis,post_1840
soluta data,1,1,1726,1726,Soluta Data,pre_1760
soluta decia,1,1,1766,1766,Soluta Decia,industrial_1760_1840
soluta dio rectori schol et off,1,1,1837,1837,Soluta. Dio Rectori. Schol. et Off.,industrial_1760_1840
soluta dno rectori schol et effi,1,1,1835,1835,Soluta – Dno Rectori. Schol. et Effi.,industrial_1760_1840
soluta dno rectori scholaribus et,1,1,1834,1834,Soluta Dno Rectori. Scholaribus. et,industrial_1760_1840
soluta dno rectori scholaribus et officiariis vc,1,1,1833,1833,"Soluta - Dno. Rectori, Scholaribus et Officiariis Vc.",industrial_1760_1840
soluta dno rectori scholariis officiaris,1,1,1767,1767,soluta Dno Rectori Scholariis & Officiaris.,industrial_1760_1840
soluta dno rectoris scholaribus,1,1,1831,1831,"Soluta Dno Rectoris, Scholaribus.",industrial_1760_1840
soluta dns rector scholarib9,1,1,1766,1766,"Soluta Dns Rector, Scholarib9",industrial_1760_1840
soluta dominis rector scholaribus,1,1,1852,1852,Soluta Dominis Rector Scholaribus,post_1840
soluta domno rectori schol c,1,1,1853,1853,Soluta. Domno Rectori Schol. &c,post_1840
soluta due rectori scholarchae c,1,1,1850,1850,Soluta Due Rectori Scholarchae &c.,post_1840
soluta duo rectori scholartur officiariis,1,1,1763,1763,Soluta Duo Rectori Scholartur & officiariis.,industrial_1760_1840
soluta hoc anno,1,1,1817,1817,Soluta hoc anno —,industrial_1760_1840
soluta narta,1,1,1817,1817,Soluta Narta,industrial_1760_1840
soluta ordinaria 1754 5,1,1,1755,1755,Soluta ordinaria. 1754-5,pre_1760
soluta ordinaria 1756,1,1,1756,1756,Soluta ordinaria . 1756,pre_1760
soluta ordinaria 1819,1,1,1819,1819,Soluta Ordinaria. 1819,industrial_1760_1840
soluta ordinaria brought for d,1,1,1855,1855,Soluta Ordinaria Brought for^d,post_1840
soluta ordinaria brought up,1,1,1831,1831,Soluta Ordinaria – Brought up.,industrial_1760_1840
soluta ordinaria novr 2 1815,1,1,1814,1814,Soluta Ordinaria Novr. 2. 1815,industrial_1760_1840
soluta ordinaria port up 246 8 9,1,1,1830,1830,Soluta Ordinaria — Port up. 246 8 9,industrial_1760_1840
soluta ordinarie,1,1,1725,1725,Soluta Ordinarie,pre_1760
soluta pro rectori scholendy officiariis,1,1,1764,1764,Soluta pro Rectori Scholendy & Officiariis,industrial_1760_1840
soluta qno rectoni scholar officiariis,1,1,1762,1762,Soluta qno Rectoni Scholar. & officiariis.,industrial_1760_1840
soluta scholari caprensi,1,1,1756,1756,Soluta Scholari Caprensi.,pre_1760
soluta scholari casanonisi,1,1,1758,1758,Soluta Scholari Casanonisi,pre_1760
soluta scholari cogengensi,1,1,1767,1767,Soluta Scholari Cogengensi,industrial_1760_1840
soluta scholari cosagium,1,1,1757,1757,Soluta Scholari Cosagium,pre_1760
soluta scholari regis carr imi,1,1,1828,1828,Soluta. Scholari Regis. Carr. Imi,industrial_1760_1840
soluta scholaro caesarensi,1,1,1763,1763,Soluta Scholaro Caesarensi.,industrial_1760_1840
soluta scholoribus cajorandi,1,1,1761,1761,Soluta Scholoribus Cajorandi,industrial_1760_1840
soluta vana,1,1,1766,1766,Soluta Vana.,industrial_1760_1840
soluta varia 1700,1,1,1700,1700,Soluta varia. 1700.,pre_1760
soluta varia 1753 4,1,1,1754,1754,Soluta Varia. 1753-4,pre_1760
soluta varia 1754 5,1,1,1755,1755,Soluta varia 1754-5,pre_1760
soluta varia 1755 6,1,1,1756,1756,Soluta Varia. 1755-6,pre_1760
soluta varia 1826,1,1,1827,1827,Soluta Varia 1826,industrial_1760_1840
soluta varia pro anno,1,1,1813,1813,Soluta Varia pro anno,industrial_1760_1840
soluta veria,1,1,1749,1749,Soluta Veria.,pre_1760
solutae scholarum caeterarumque,1,1,1762,1762,Solutae Scholarum Caeterarumque,industrial_1760_1840
solutat,1,1,1835,1835,Solutat -,industrial_1760_1840
solute ordinaria,1,1,1749,1749,Solute Ordinaria.,pre_1760
solutio,1,1,1817,1817,Solutio,industrial_1760_1840
solutio dno rectorio schol et off,1,1,1836,1836,Solutio. Dno. Rectorio. Schol. et Off.,industrial_1760_1840
solvola caria,1,1,1723,1723,Solvola Caria,pre_1760
sonta varia,1,1,1864,1864,Sonta Varia,post_1840
south hamington penant,1,1,1717,1717,South Hamington Penant,pre_1760
south newing rect,1,1,1762,1762,South Newing: Rect,industrial_1760_1840
southewennington rect,1,1,1765,1765,Southewennington Rect.,industrial_1760_1840
southnewington tenemt,1,1,1700,1700,Southnewington Tenemt.,pre_1760
stale degree fees,1,1,1873,1873,Stale Degree Fees,post_1840
stamp receipts,1,1,1852,1852,Stamp Receipts,post_1840
stata,1,1,1812,1812,Stata,industrial_1760_1840
state of a accumulating fund navy 5p ct c,1,1,1809,1809,"State of a accumulating Fund, Navy 5p^(ct) (C)",industrial_1760_1840
state of accumulated fund in navy,1,1,1809,1809,State of accumulated Fund in Navy,industrial_1760_1840
state of the fund for advowsons in the 3 pr ct reduced,1,1,1809,1809,State of the Fund for Advowsons in the 3 pr Ct. reduced,industrial_1760_1840
state of the fund for advowsons in the 3d per cent reduced,1,1,1807,1807,State of the Fund for Advowsons in the 3d per Cent reduced,industrial_1760_1840
state of the fund for allowances in the 3 pr cent reduced,1,1,1806,1806,State of the Fund for Allowances in the 3 pr Cent Reduced,industrial_1760_1840
statuta dno rectori scholaribus et ff,1,1,1850,1850,Statuta. Dno Rectori Scholaribus et ff.,post_1840
stip generos ad fest s mich do,1,1,1853,1853,Stip: generos. ad Fest. S. Mich. - Do,post_1840
stipend ad fest ann 1853 do,1,1,1853,1853,Stipend ad Fest. Ann. 1853 - Do,post_1840
stipend ad fest annun,1,1,1810,1810,Stipend: ad Fest: Annun:,industrial_1760_1840
stipend ad fest d j bapt et off do,1,1,1853,1853,Stipend ad Fest. D. J. Bapt. et Off. - Do,post_1840
stipend ad fest natal 1852 do,1,1,1853,1853,Stipend ad Fest. Natal. 1852 - Do,post_1840
stipend ad fest nativ 1025,1,1,1826,1826,Stipend: ad Fest. Nativ. 1025,industrial_1760_1840
stipend ad fest nativ officiariis,1,1,1810,1810,Stipend ad Fest. Nativ. & Officiariis,industrial_1760_1840
stipend ad fest natu 1820,1,1,1829,1829,Stipend. ad Fest. Natu. 1820,industrial_1760_1840
stipend ad fest s bapt et off,1,1,1838,1838,Stipend ad Fest. S. Bapt. et Off.,industrial_1760_1840
stipend ad festum annum 1850,1,1,1850,1850,Stipend ad festum Annum: 1850.,post_1840
stipend ad festum natio 1849,1,1,1850,1850,Stipend ad festum Natio. 1849.,post_1840
stipend curates ad fest s mich,1,1,1838,1838,Stipend Curates ad Fest. S. Mich.,industrial_1760_1840
stipend d i bapt officiariis p 202,1,1,1810,1810,Stipend. D.I. Bapt: & Officiariis P.202,industrial_1760_1840
stipend et officiarys,1,1,1710,1710,Stipend. et Officiarys,pre_1760
stipend offic,1,1,1737,1737,Stipend & Offic.,pre_1760
stipends c on wh the property tax has been retained by the rector,1,1,1843,1843,Stipends &c on wh: the Property Tax has been retained by the Rector,post_1840
stips ad fest annunc 1026,1,1,1826,1826,Stips: ad Fest: Annunc. 1026,industrial_1760_1840
stips ad fest d io bapt et off,1,1,1826,1826,Stips: ad Fest: D. Io. Bapt. et Off:,industrial_1760_1840
stips guinear ad fest s mich,1,1,1826,1826,Stips: Guinear. ad Fest. S. Mich.,industrial_1760_1840
stipula due rectoris scholae et off,1,1,1838,1838,Stipula Due Rectoris Scholae et Off.,industrial_1760_1840
stola ordinaria paid over 27 6 5,1,1,1837,1837,Stola Ordinaria. Paid over 27/6/5,industrial_1760_1840
stone,1,1,1873,1873,Stone,post_1840
stulo gradinam,1,1,1836,1836,Stulo Gradinam,industrial_1760_1840
subscription viz,1,1,1849,1849,Subscription viz,post_1840
subscriptions brought up,1,1,1867,1867,Subscriptions    Brought up,post_1840
subscriptions by,1,1,1858,1858,Subscriptions by:,post_1840
subscriptions contd,1,1,1868,1868,Subscriptions contd.,post_1840
subscriptions continued viz,1,1,1848,1848,Subscriptions continued viz -,post_1840
subscriptions dr,1,1,1850,1850,Subscriptions. Dr.,post_1840
subscriptions dues,1,1,1837,1837,Subscriptions Dues.,industrial_1760_1840
subscriptions increase small benef,1,1,1867,1867,Subscriptions - Increase Small Benef.,post_1840
subscriptions infirm y,1,1,1873,1873,Subscriptions Infirm'y,post_1840
subscriptions infirmary,1,1,1872,1872,Subscriptions Infirmary,post_1840
subscriptions to school at,1,1,1837,1837,Subscriptions to School at,industrial_1760_1840
subscriptions to schools kidlington,1,1,1879,1879,Subscriptions to schools Kidlington,post_1840
subscriptions vg,1,1,1828,1828,Subscriptions. vg.,industrial_1760_1840
subscriptions vig,1,1,1855,1855,Subscriptions vig:,post_1840
subscriptions yarnton school,1,1,1865,1865,Subscriptions Yarnton School,post_1840
sue quitrents ann,1,1,1700,1700,Sue quitrents Ann.,pre_1760
sum,1,1,1701,1701,Sum,pre_1760
sum resolutum a d 1811,1,1,1810,1810,Sum resolutum A.D. 1811,industrial_1760_1840
suma totalis omnium receptorum et remanentium 5908 07 id in cista,1,1,1701,1701,Suma totalis omnium Receptorum et Remanentium 5908 07 id in Cista,pre_1760
summ omn solutorum,1,1,1742,1742,Summ. omn. Solutorum,pre_1760
summa deceptorum et solutorum 2ndo die novembris 1867,1,1,1867,1867,Summa Deceptorum et Solutorum 2ndo Die Novembris 1867.,post_1840
summa omnium,1,1,1717,1717,Summa omnium,pre_1760
summa omnium receptoram,1,1,1747,1747,Summa omnium Receptoram,pre_1760
summa omnium receptoriam,1,1,1726,1726,Summa Omnium Receptoriam,pre_1760
summa omnium receptorium,1,1,1710,1710,Summa Omnium Receptorium,pre_1760
summa omnium receptorum et remanentium in cista,1,1,1700,1700,Summa omnium Receptorum et remanentium in cista,pre_1760
summa recefforum ob solutorum 2 die,1,1,1852,1852,Summa Recefforum ob Solutorum 2° Die,post_1840
summa receptorum et solutionum,1,1,1835,1835,Summa Receptorum et Solutionum.,industrial_1760_1840
summa receptorum et solutonum,1,1,1850,1850,Summa Receptorum et Solutonum,post_1840
summa receptorum et solutorum 2ndo die,1,1,1865,1865,Summa receptorum et solutorum 2ndo Die,post_1840
summa receptorum et solutorum 2o die novbr 1851,1,1,1851,1851,Summa Receptorum et Solutorum 2o die Novbr 1851,post_1840
summa receptorum et solutorum pro hoc annos 2 die novembris 1820,1,1,1820,1820,Summa Receptorum et Solutorum pro hoc annos. 2° Die Novembris. 1820.,industrial_1760_1840
summa receptorum solutorum,1,1,1853,1853,Summa Receptorum & Solutorum,post_1840
summa rectorum et solutionum 2do die novembris 1859,1,1,1859,1859,Summa rectorum et solutionum 2do die Novembris 1859,post_1840
summa solutorum et receptorum pro hoc anno 2do die novembris 1855,1,1,1855,1855,Summa Solutorum et Receptorum pro hoc anno 2do die Novembris 1855,post_1840
summa solutorum et receptorum pro hoc anno 2o die novembris 1821,1,1,1821,1821,Summa Solutorum et Receptorum pro hoc anno. 2o die Novembris. 1821.,industrial_1760_1840
summa totalis omnium roroplorum et remanentium s 908 07 1d,1,1,1700,1700,Summa totalis omnium Roroplorum et Remanentium S 908 07 1d,pre_1760
summaria recepta,1,1,1812,1812,Summaria Recepta,industrial_1760_1840
sums expended by rector since nov 2,1,1,1882,1882,Sums expended by Rector since Nov 2,post_1840
supervisori adificiorum,1,1,1828,1828,Supervisori Adificiorum,industrial_1760_1840
sur ary impon y coll nota downy,1,1,1729,1729,Surſary & Imponſy coll: Nota Downy,pre_1760
symes trust,1,1,1889,1889,Symes    Trust,post_1840
synodals and procurations,1,1,1856,1856,Synodals and Procurations,post_1840
synodals proc,1,1,1858,1858,Synodals & Proc.,post_1840
synodals procurations vd sol varia,1,1,1828,1828,Synodals & Procurations vd. Sol. Varia.,industrial_1760_1840
t sheppard bursar,1,1,1871,1871,T. Sheppard - Bursar,post_1840
taxe,1,1,1702,1702,Taxe {,pre_1760
taxe allowed to,1,1,1700,1700,Taxe allowed to,pre_1760
territorii,1,1,1836,1836,Territorii,industrial_1760_1840
tertia die novembris 1856,1,1,1856,1856,tertia die Novembris 1856,post_1840
test annun,1,1,1757,1757,Test: annun:,pre_1760
test mich,1,1,1757,1757,Test: Mich:,pre_1760
test nat,1,1,1757,1757,Test: Nat:,pre_1760
th betty a m,1,1,1727,1727,Th: Betty A.M.,pre_1760
that the abstracts balance sheet,1,1,1897,1897,that the abstracts & Balance Sheet,post_1840
the sollicitations wh occur in this page now made mistakes by 2 1849 for the act of 1850 a gain by error of from computes the rectors j l richards,1,1,1848,1848,The Sollicitations wh. occur in this page. Now made mistakes by 2 / 1849 for the act. of 1850. & [?] a gain by error of [?] from / (Computes) The Rectors J. L. Richards.,post_1840
the vicar of st newington s stipend,1,1,1843,1843,The Vicar of St. Newington's Stipend,post_1840
thesauro,1,1,1750,1750,& Thesauro,pre_1760
these accounts are made up of the basis of receipts payments only,1,1,1883,1883,These accounts are made up of the basis of Receipts & Payments only.,post_1840
this entry will not appear as an from henceforth the overplus is directly carried into the incrementum domus,1,1,1861,1861,* This entry will not appear as an from henceforth the overplus is directly carried into the Incrementum Domus,post_1840
